#L	Chi_peak	err_chi	beta_pc	err_beta
10.0	6.545334844783842	0.002424845137219141	0.39902021438386215	0.00015179620528333977
20.0	21.486530838216385	0.009357333574491951	0.4202304327742478	6.952072047860105e-05
30.0	43.293779794267756	0.015900545331121906	0.42719491609474336	4.2676348443717296e-05
40.0	71.27934641242693	0.03156882339902704	0.4307295966824129	6.32515213640112e-05
50.0	104.95654893930464	0.04428398330523641	0.43266880971282984	4.0258617623315365e-05
60.0	144.18926611893193	0.07951799106767767	0.4340240037259944	3.1607865694215387e-05
70.0	188.69493610987854	0.10392321526742271	0.43494806704562783	2.4930444196860392e-05
80.0	237.98911028746775	0.12507014007959316	0.43566730352718835	1.713886858006455e-05
90.0	292.6020191603621	0.15330931270531678	0.43621950463520376	1.344003292967725e-05
100.0	351.8171871375791	0.3892708834871226	0.4366656475988396	2.857765295942409e-05
110.0	415.1169603964389	0.39479345458906057	0.4370718938784558	3.3632341363217606e-05
120.0	482.2507604175881	0.47379916677931894	0.4373655709032146	2.1084696953018284e-05
130.0	555.8496619827494	0.49509999621592815	0.4376210640565687	1.737546492321578e-05
140.0	633.1708624555208	0.6116362991778328	0.43780892933933935	2.1201679135419873e-05
150.0	714.0277850669354	1.0241731539370165	0.43802481159323214	2.4636427549853573e-05
# kill 160.0	800.5409107230726	1.369341159486317	0.4383097343401671	2.2678356438072527e-05
170.0	886.5358417414528	1.2549997871955072	0.438356372510387	3.220119722889485e-05
180.0	983.0414858176362	1.5031521445179663	0.43850112735098806	3.751707589374334e-05
